Last_Name,First_Name,Division,Country,BIB,Overall_Place,Time,Seconds,Year,Gender,Marathon
stephen,susie,35-39,GBR,6001,782,02:58:07,10687.0,2015,F,Chicago
eynon,adrienne,35-39,USA,12139,792,02:58:17,10697.0,2015,F,Chicago
lederer,krista,35-39,USA,294,794,02:58:18,10698.0,2015,F,Chicago
nearman,holly,25-29,USA,179,795,02:58:18,10698.0,2015,F,Chicago
o'neil,kathleen,25-29,USA,187,800,02:58:23,10703.0,2015,F,Chicago
stone,tia,35-39,USA,169,804,02:58:25,10705.0,2015,F,Chicago
eakin,laura,30-34,USA,10168,813,02:58:29,10709.0,2015,F,Chicago
chumba,dickson,25-29,KEN,3,1,02:09:25,7765.0,2015,M,Chicago
kitwara,sammy,25-29,KEN,2,2,02:09:50,7790.0,2015,M,Chicago
ndungu,sammy,25-29,KEN,10,3,02:10:06,7806.0,2015,M,Chicago
gebru,girmay birhanu,25-29,ETH,6,4,02:10:07,7807.0,2015,M,Chicago
puskedra,luke,25-29,USA,18,5,02:10:24,7824.0,2015,M,Chicago
korir,wesley,30-34,KEN,8,6,02:10:39,7839.0,2015,M,Chicago
kibet,elkanah,25-29,USA,36,7,02:11:31,7891.0,2015,M,Chicago
rotich,lucas,25-29,KEN,11,8,02:13:39,8019.0,2015,M,Chicago
kuma,abera,25-29,ETH,7,9,02:13:44,8024.0,2015,M,Chicago
cabada,fernando,30-34,USA,13,10,02:15:36,8136.0,2015,M,Chicago
adams,liam,25-29,AUS,16,11,02:16:29,8189.0,2015,M,Chicago
richards,malcolm,30-34,USA,19,12,02:16:41,8201.0,2015,M,Chicago
wietecha,scott,30-34,USA,23,13,02:17:02,8222.0,2015,M,Chicago
watson,rob,30-34,CAN,15,14,02:17:21,8241.0,2015,M,Chicago
migliozzi,tony,25-29,USA,25,15,02:17:44,8264.0,2015,M,Chicago
lemon,chris,25-29,USA,86,16,02:18:06,8286.0,2015,M,Chicago
ripley,zach,25-29,USA,468,17,02:18:26,8306.0,2015,M,Chicago
macpherson,scott,25-29,USA,20,18,02:18:34,8314.0,2015,M,Chicago
shaw,ethan,25-29,USA,24,19,02:19:33,8373.0,2015,M,Chicago
geoghegan,patrick,25-29,USA,96,20,02:19:38,8378.0,2015,M,Chicago
yoshii,satoshi,30-34,JPN,12,21,02:20:33,8433.0,2015,M,Chicago
kanezane,shogo,25-29,JPN,17,22,02:20:40,8440.0,2015,M,Chicago
bohach,adam,30-34,USA,76,23,02:20:58,8458.0,2015,M,Chicago
lizano,cesar,30-34,CRI,88,24,02:21:09,8469.0,2015,M,Chicago
havel,kevin,25-29,USA,416,25,02:21:57,8517.0,2015,M,Chicago
fellows,donovan,35-39,USA,420,26,02:22:05,8525.0,2015,M,Chicago
jermann,tyler,20-24,USA,488,27,02:22:26,8546.0,2015,M,Chicago
williams,andy,25-29,USA,91,28,02:22:54,8574.0,2015,M,Chicago
mull,brandon,25-29,USA,29,29,02:22:54,8574.0,2015,M,Chicago
hrezi,mohamed,20-24,USA,35,30,02:23:14,8594.0,2015,M,Chicago
mcguire,ryan,30-34,USA,476,31,02:23:18,8598.0,2015,M,Chicago
guillen,ramiro,30-34,USA,469,32,02:23:33,8613.0,2015,M,Chicago
pannone,christopher,25-29,USA,27,34,02:23:38,8618.0,2015,M,Chicago
barrett,matt,25-29,USA,414,36,02:23:43,8623.0,2015,M,Chicago
peters,nathan,25-29,USA,85,37,02:24:02,8642.0,2015,M,Chicago
julia,jaime,30-34,USA,425,38,02:24:03,8643.0,2015,M,Chicago
varela,jonnathan,35-39,CRI,9115,39,02:24:13,8653.0,2015,M,Chicago
o'connor,teage,30-34,USA,461,42,02:24:31,8671.0,2015,M,Chicago
thompson,christian,25-29,USA,31,43,02:24:36,8676.0,2015,M,Chicago
kremske,dan,25-29,USA,30,45,02:24:42,8682.0,2015,M,Chicago
wallor,eric,30-34,USA,493,46,02:24:59,8699.0,2015,M,Chicago
