Year,Country,Gender,Age,Time,Seconds
2019,ERI,M,30.0,02:08:26,7706.0
2019,CHN,M,30.0,02:08:28,7708.0
2019,KEN,M,20.0,02:08:35,7715.0
2019,JPN,M,20.0,02:08:56,7736.0
2019,KEN,M,20.0,02:09:39,7779.0
2019,JPN,M,20.0,02:10:26,7826.0
2019,AUT,M,30.0,02:10:57,7857.0
2019,ITA,M,35.0,02:11:08,7868.0
2019,USA,M,30.0,02:11:14,7874.0
2019,SWE,M,30.0,02:11:50,7910.0
2019,GBR,M,30.0,02:12:29,7949.0
2019,TUR,M,20.0,02:12:41,7961.0
2019,ETH,M,20.0,02:13:19,7999.0
2019,USA,M,35.0,02:13:22,8002.0
2019,NED,M,20.0,02:13:38,8018.0
2019,IRL,M,35.0,02:13:39,8019.0
2019,ITA,M,30.0,02:13:48,8028.0
2019,ERI,M,30.0,02:13:51,8031.0
2019,ISR,M,20.0,02:13:53,8033.0
2019,GBR,M,30.0,02:13:57,8037.0
2019,MAR,M,20.0,02:14:02,8042.0
2019,CHN,M,20.0,02:14:05,8045.0
2019,AUT,M,30.0,02:14:17,8057.0
2019,JPN,M,20.0,02:14:27,8067.0
2019,CHN,M,20.0,02:14:31,8071.0
2019,FRA,M,20.0,02:14:32,8072.0
2019,CZE,M,20.0,02:14:35,8075.0
2019,BEL,M,35.0,02:14:39,8079.0
2019,GBR,M,35.0,02:14:40,8080.0
2019,BEL,M,30.0,02:14:43,8083.0
2019,USA,M,30.0,02:14:44,8084.0
2019,GER,M,30.0,02:14:54,8094.0
2019,MEX,M,30.0,02:14:54,8094.0
2019,ISR,M,20.0,02:14:58,8098.0
2019,KEN,M,30.0,02:15:00,8100.0
2019,CHN,M,20.0,02:15:03,8103.0
2019,USA,M,20.0,02:15:12,8112.0
2019,CHN,M,30.0,02:15:27,8127.0
2019,ISR,M,30.0,02:15:46,8146.0
2019,GBR,M,30.0,02:15:52,8152.0
2019,LTU,M,35.0,02:15:53,8153.0
2019,KOR,M,20.0,02:15:59,8159.0
2019,JPN,M,20.0,02:16:08,8168.0
2019,GER,M,30.0,02:16:09,8169.0
2019,SUI,M,30.0,02:16:10,8170.0
2019,NOR,M,30.0,02:16:37,8197.0
